row,name,brand,pattern
16095,M&S -food- Gluten FREE Scottish Salmon MADE Withou,M&S,-food-
16162,M&S -food- Summer EDIT Burger Sauce Flavour Sweet,M&S,-food-
16209,PEEL HER Ashfields Family PACK British Cooked HAM,Aldi,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
16366,WIN EDIN Maltese Fairtrade,Mars,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
16387,EASY TO OPEN Mix & Match NOW RECE 12.3 Cathedral S,Cathedral City,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
16784,MADE IN Reland PER Piece Broderick's Salted,Broderick’S,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
16824,SCAN TO WIN Brunch In Wine Light New York Philadel,Philadelphia,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
17267,EET BABY RANS The Sauce Is The Boss Sweet DAB,Sweet Baby Rays,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
17470,M&S -food- Ralph Bandit 62 Sasha OTTO Christmas PU,M&S,-food-
17582,ADE WITH REAL AL Cream Serving Pasta's Never Looke,Dolmio,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
17796,BST VDE PAR Ars Candy Cream Candy Crea,Mister Choc,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
18126,MA ARE Starbucks Holiday Edition White Chocolate M,Starbucks,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
18335,OBS MIN Cheddars 6 RED Leicester Flavour Baked WIT,Mini Cheddars,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
18371,JOHN WEST Tuna Light Lunch,John West,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
18488,NEW KP TEAR HERE Signature S 252 Each 30g Serving,Kp,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
18509,CH NEW Alkers Dorites Dinamita Extra Flamin' Hot F,Doritos,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
18832,BLUE DRAG Sweet Teriyaki Vegan -sance 22 Mild,Blue Dragon,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
19363,SIS GO Energy + Electrolyte,Sis,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
19725,SEA SALT AND Pepper Protein NUT Crunch,Graze,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
20670,THE GYM Kitchen FOOD TO FUEL HIGH Protein Chicken,The Gym Kitchen,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
21145,MADE WITH Fruit Juice T32 Maynard's Bassetts,Maynards,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
21148,SOUR THEN Sweet SOUR Patch Kids 20 Mini Bag Strawb,Sour Patch,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
21149,MORE TO HARE We Are Made With Natural Colours SOUR,Sour Patch Kids,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
21292,ICE MEAL Oldelpaso Established 1938 TM NEW Fajita,Old El Paso,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
