row,name,brand,reason
22536,Avocado Seed & Grain Bread,Greenwise Publix,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
22571,Original Thin Cheese Pizza,Jack'S,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
22572,Pull-apart Pizza Sticks,Jack'S,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
22574,Japanese Style Noodles Original Flavour,Sapporo Ichiban,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
22575,Japanese Style Noodles Beef Flavour,Sapporo Ichiban,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
22826,Sourdough Round,Lidl,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
22828,Silician Inspired Crispsy Thin Crust Pizza,Lidl,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
22837,White Bread,Aldi,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
23060,Bake,Aldi,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
23068,Savoritz Original Saltine Crackers,Aldi,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
23085,Buttermilk Pancake & Waffle Mix,Aunt Maple'S,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
23086,Buttermilk Pancake & Waffle Mix,Aldi,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
23096,Spinach Herb Wraps,L'Oven Fresh,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
23097,Spinach Herb Wrap,Aldi,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
23098,Aldi Supreme Pizza,Aldi,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
23147,Coca-cola Zero Sugar,Coca-Cola,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
23761,Sparletta,,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
23990,Breakfast Honey & Chocolate,Belvita,US-style ingredient labeling: INS\d{3}
24020,Fruit And Nuts,Canderel,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
24195,Buldak Hot Chicken Flavour Ramen,Samyang,US-style ingredient labeling: INS\d{3}
24306,Heritage Milk Shake,Heritage,US-style ingredient labeling: INS\d{3}
24325,Dark Compound,Morde,US-style ingredient labeling: INS\d{3}
24327,Cheese And Jalapeno Dip,Veeba,US-style ingredient labeling: INS\d{3}
24343,Indigo Exclusive Magic Upma,Eze Eats Triguni,US-style ingredient labeling: INS\d{3}
24379,Cheddar,Dairylea,US-style ingredient labeling: INS\d{3}
24391,Coca Cola Zero Sugar Zero Caffeine,Coca Cola,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
24578,"Spartan, Fresh Selections, Milk Chocolate Cherries",Spar,US brand detected: spartan
24579,All-purpose Baking Mix,Spar,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
24580,"Spartan, Spread, Hazelnut",Spar,US brand detected: spartan
24581,"Flour Tortillas, Fajita Size",Spar,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
24630,Authentic Flour Tortillas,Food Club,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
24657,"Benton's Kids, Teddy Bear Grahams Snack Packs, Hon",Benton'S,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
24659,"L'oven Fresh, Dipped Sugar Cookies",Aldi,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
24660,"Chocolate Brownie Cookies, Thin & Crispsy",Benton'S,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
24661,"Thin & Crispsy Cookies, Chocolate Chip",Benton'S,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
24662,"Pretzel Flats, Honey Mustard Onion",Clancy'S,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
24664,"Village Bakery, Sugar Cookies",Aldi,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
24665,"Harvest Cookies, Apple Cinnamon",Benton'S,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
24667,"Dark Chocolate Almond Gourmet Cookies, Almond",Specially Selected,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
24669,"Snowman Grahams Snack, Honey",Benton'S,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
24751,Morrisons Prepared Kit Mixes,Morrisons,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
24852,Morning Glory Muffins,Schwartz,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
24977,Everything Bagels,Lidl,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
25146,Pretzel Rod,Lidl,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
25170,Bake House Pie Crust,Aldi,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
25275,L'oven Fresh Bagel Skinnys,Aldi,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
25276,Pretzels Sticks,Aldi,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
25277,Pretzels,Aldi,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
25278,Seedless Soft Rye Bread,Aldi,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
25279,Loven Oat Bran,Aldi,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
25286,Crescent Rolls,Aldi,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
25289,Pecan Shortbread Cookies,Aldi,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
25292,Naan Garlic Flatbread,Aldi,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
25293,Italian Ciabatta Sandwich Rolls,Aldi,US-style ingredient labeling: ENRICHED.*FLOUR.*FOLIC ACID
