row,name,category
22618,Muscletech Whey Isolate,"Incorrect product type, Non-open-products-facts"
22676,Hand-scooped Coconut Meat,coconut-based-dessert
22758,Seriously Lighter Spreadable Cheese,"Light-cheese-spread, Light cheese spread"
22893,Marinated Tomato And Pesto Pie,"Marinated-tomato-and-pesto-pies, Tomato-and-pesto-"
22895,Chilli And Garlic Olives,"Chilli-and-garlic-olives, en:olives"
23050,Muesli,mueslis-with-fruits
23070,Sparkling Frost Orange Mango,flavored-sparkling-water
23102,Mozart Kugeln,"kakao-und-kakaoprodukte, mozart-kugeln"
23245,SNAX,flavoured-potato-crisps
23250,Tayto Cornados Snack,"Tayto-cornados-snaks, Tayto Cornados snaks"
23367,Baked Pretzels Original Sea Salted,"plant-based-foods-and-beverages, plant-based-foods"
23372,Cauliflower Cheese,"Ready-meal-chilled, Cauliflower cheese"
23601,Mexican Chipotle Burrito,"Mexican-chipotle-burrito, Black bean stew with bro"
23681,Organic Greek Style Yogurt Vanilla,greek-style-yogurts
23709,Crunchy Mix,puffed-salty-snacks-made-from-maize
24104,Chocolate Brownies Vegan,"de:imbiss, de:kekse-und-kuchen"
24141,Witte Zonnepitbolletjes,"plantaardige-levensmiddelen-en-dranken, plantaardi"
24144,Snack Pot Big Tomato & Mozzarella,Kant-en-klaar maaltijden
24174,Plenny Shake Active Chocolate,"Kant-en-klaar maaltijden, Maaltijdvervangers"
24182,Sweet & Sour,meals-with-chicken
24218,Ensure Gold,Powder-add-water-nutritional-supplement
24843,Natural Thick And Creamy,"beverages-and-beverages-preparations, beverag"
24910,Scottish Seeded Oatcakes,"biscuits-and-crackers, da:crackers"
24994,Pizza Casa Morando Aldi,"Kant-en-klaar maaltijden, Pizzas - hartige taarten"
25007,Jerk Paste,"Jerk-cooking-paste, Curry pastes"
25018,M&S Naked Chicken Katsu,"ms:salad, salads-with-meat"
25158,16 Bean Soup Mix,"plant-based-foods-and-beverages, plant-based-"
25179,White Sliced Rolls,"plant-based-foods-and-beverages, plant-based-foods"
25181,Vegetable Sushi,"Meals, Sushis-and-makis"
25365,Egg And Cress Sandwich,"Sandwiches, Sandwich-with-egg-and-cress-on-malted-"
25378,Bolognese Pasta Sauce,meat-based-pasta-sauces
25542,Alison Bread Flour,"Strong-white-bread-flour, en:breads"
25720,Nut Roast Mix,"Nut-roast-mix, Nut-roast"
25733,"Cranberry, Cherry & Almond Muesli","Dorset, Dorset-cereals-cranberry"
25792,Banana Weaning Wands,puffed-salty-snacks-made-from-maize
25804,Raspberry Kefir,"Raspberry kefir, en:fermented-milk-drinks"
25835,Chicken Caesar And Bacon Bagette,"Filled-sourdough-baguette, Filled Sourdough Baguet"
25843,Brazil Nuts Dark Chocolate,"3, Brazil-nuts-chocolate"
25856,King Prawn Poke,"Salad bowl, en:sushi-and-maki"
25940,Greek Style Natural Yogurt,greek-style-yogurts
25965,Pitted Green Olives With Chilli,"Pitted-green-olives-with-chilli, Pitted green Oliv"
26040,Scandi Style Salmon Rye Roll,"plant-based-foods-and-beverages, plant-based-foods"
26051,Delhi Tikka Masala Curry Sauce,"Curry-cooking-sauce, Curry sauces"
26069,Harissa Chicken,"Harissa chicken gym kitchen, en:meals-with-chicken"
26091,Roasted Sweet Potato & Feta Pie,"Pies, en:frozen-ready-made-meals"
26123,Organic BBQ Baked Beans,"Organic BBQ baked beans, en:baked-beans-in-tomato-"
26135,Seeded Sourdough Flatbreads,"plant-based-foods-and-beverages, plant-based-foods"
26167,Spicy Veg Bao Buns,"Bao buns, en:frozen-ready-made-meals"
26410,Bon Acird Tonic,"Beverages, Tonic-water-with-sugar"
26655,Aloo Bhujia,"snacks, puffed-salty-snacks-potato/soy-based"
26665,Vegetable Tempura Fries,"Frozen-tempura-fries, Frozen vegetable tempura"
26772,Bigga Grape,"Grape-sour-soft-drink, Grape juices from concentra"
26865,Savoury Crackers,"biscuits-and-crackers, crackers-appetizers"
27151,Sea Salt Flavour Potato Snacks,"plant-based-foods-and-beverages, plant-based-foods"
27220,Sparkling Marshmallow,artificially-sweetened-beverages
27319,Baby Corn & Sugar Snap Peas,"Mixed-vegetable-selection, vegetable"
27347,Perogies Variety 4-pack,Frozen-perogies-variety-pack
27428,Dark Chocolate Macadamias,chocolate-covered-nuts
27467,6 Soft White Rolls,"plant-based-foods-and-beverages, plant-based-foods"
27499,The Man,"cocoa-and-its-products, chocolates"
27541,Organic Mini Dark Chocolate Coated Brown,chocolate-covered-rice-cakes
27557,Honey Flavour Hot Kid Ball Cake,"Hot-kid-ball-cake-honey-flavour, cake"
27806,Lemon Pepper Chicken,meals-with-chicken
27845,Cauliflower And Broccoli Cheese,"Vegetables-with-cheese, cauliflower & Broccoli che"
27962,Boy Bawang Cornick Hot Garlic Flavour,puffed-salty-snacks-made-from-maize
28040,Celebrations Box (1 Chocolate),assorted-chocolate-candies
28067,Extra Mature Cheddar,"Organic Cheese, en:extra-mature-cheddar"
28105,Hobnobs,digestives-covered-with-chocolate
28542,Donnelly Fresh Falafel Mezza Salad Pot,"Falafel Mezza Salaf Pot, Falafel-mazza-salad-pot"
29038,Good Morning Instant Oatmeal,"plant-based-foods-and-beverages, plant-based-foods"
29068,Whey Protein Chocolate Flavour,"Chocolate-flavor-whey-protein-powder, whey protein"
29206,Chocolate & Cookies Wholemeal Soft Bun,"plant-based-foods-and-beverages, plant-based-foods"
29327,Saffola Masala Oats - Classic Masala,"plant-based-foods-and-beverages, plant-based-foods"
29328,Masala Oats - Peppy Tomato,"plant-based-foods-and-beverages, plant-based-foods"
29330,Masala Oats,"plant-based-foods-and-beverages, plant-based-foods"
29402,No Rulz Curlz Masala,puffed-salty-snacks-made-from-corn
29408,Cream & Onion Potato Chips,"plant-based-foods-and-beverages, plant-based-foods"
29434,Black,"Soft Drinks, en:diet-cola-soft-drink"
29519,Nadiyadi MIX,"indian-snacks, puffed-salty-snacks"
29658,Kit Kat Neapolitan,"Sna, en:chocolate-biscuity-bars"
29694,Greek Style Yogurt Strawberry,"Snacks, en:greek-style-yogurts"
29762,Gluten Free Barbecue Shapes,"gluten-free, puffed-salty-snacks"
29819,Turkey Breast,"meats-and-their-products, meats"
29822,Stackers Leg Ham,"snacks, meats-and-their-products"
29945,Skinny Dipped Almonds,chocolate-covered-almonds
30261,Bowl Noodle Soup,instant-noodle-soups
30814,Ice Cream Waffle Cones,ice-cream-cones
30825,Rosemary & Sea Salt Flatbreads,"plant-based-foods-and-beverages, plant-based-foods"
31079,"Spicy Salmon Avocado Roll Qbr, Avocado","Meals, Sushis-and-makis"
31080,12pc Salmon Avocado Roll Wr,"Meals, Sushis-and-makis"
31081,12pc Avocado Regular Roll Wr,"Meals, Sushis-and-makis"
31082,Avocado Regular Roll Wr,"Meals, Sushis-and-makis"
31083,"Tuna Avocado Roll Qbr,","Meals, Sushis-and-makis"
31085,"Grilled Salmon Avocado Roll Wr, Avocado","Meals, Sushis-and-makis"
31086,"Spicy Salmon Avocado Roll Wr, Avocado","Meals, Sushis-and-makis"
31088,Avocado Summer Roll W/ Sweet Chili Sauce,"Meals, Sushis-and-makis"
31089,Avocado Cucumber Roll Qbr,"Meals, Sushis-and-makis"
31090,Avocado Cucumber Roll Wr,"Meals, Sushis-and-makis"
31091,Salmon Avocado Roll Qbr,"Meals, Sushis-and-makis"
31093,"Spicy Tuna Avocado Roll Qbr, Avocado","Meals, Sushis-and-makis"
31094,"Spicy Tuna Avocado Roll Wr, Avocado","Meals, Sushis-and-makis"
31129,Wild Berry Bliss Real Food Smoothie,"Vegan-protein-smoothie-mix, Dietary supplements"
