row,name,category,pattern_matched
22712,Speculos,"Snacks, Snacks sucrés",\bsucrés\b
22764,Nouilles Instantanées.,"Plant-based foods and beverages, Plant-b",\bNouilles\b
22765,Douces Marion,"Snacks, Snacks sucrés",\bsucrés\b
23156,® Chocolate Treat Bag,"Snacks, Snacks sucrés",\bsucrés\b
23162,Biscuits Digestive Milk Chocolate,"Snacks, Snacks sucrés",\bsucrés\b
23188,Bird's - Custard,"Produits laitiers, Condiments",\bProduits laitiers\b
23224,Cottage Cheese With Pineapple,"Produits laitiers, Produits fermentés",\bProduits laitiers\b
23311,Toffees Tirelire,"Snacks, Snacks sucrés",\bsucrés\b
23343,Oaty Flapjack,"Snacks, Snacks sucrés",\bsucrés\b
23382,Family Farm Fat Natural,"Produits laitiers, Produits fermentés",\bProduits laitiers\b
23384,Edible Coal,"Snacks, Snacks sucrés",\bsucrés\b
23427,Impact Whey Isolate Chocolate Caramel,"Compléments alimentaires, Compléments po",\bCompléments alimentaires\b
23430,Pro Milk,"Produits laitiers, Laits",\bProduits laitiers\b
23432,Pro. Milk 50 Zero,"Produits laitiers, Laits",\bProduits laitiers\b
23435,"High Protein Bar, Chocolate Orange,","Compléments alimentaires, Compléments po",\bCompléments alimentaires\b
23437,Vegan Protein Brownie,"Snacks, Snacks sucrés",\bsucrés\b
23440,Collagen Coffee Honey & Almond,Compléments alimentaires,\bCompléments alimentaires\b
23446,The Whey,"Compléments alimentaires, Compléments po",\bCompléments alimentaires\b
23448,"The Whey Chocolate Caramel,","Compléments alimentaires, Compléments po",\bCompléments alimentaires\b
23453,High Protein Milk Chocolate,"Snacks, Snacks sucrés",\bsucrés\b
23454,Carb Crusher,"Snacks, Snacks sucrés",\bsucrés\b
23456,Layered Treat Without The Cheat,"Snacks, Snacks sucrés",\bsucrés\b
23476,Mature English Cheddar,"Produits laitiers, Produits fermentés",\bProduits laitiers\b
23583,High Protein Snack Bar,"Compléments alimentaires, Compléments po",\bCompléments alimentaires\b
23588,L &F Peach Passion Fruit Greek Style Yoghurt,"Produits laitiers, Produits fermentés",\bProduits laitiers\b
23590,Snickers Hi Ptotein,"Snacks, Snacks sucrés",\bsucrés\b
23599,Gold Standard Whey,"Compléments alimentaires, Compléments po",\bCompléments alimentaires\b
23750,The Bakehouse Chunky,Cookies au chocolat,\bchocolat\b
23754,Trefin Seashells,"Snacks, Snacks sucrés",\bsucrés\b
23758,Tablette Chocolate Blanc Riz Soufflé,"Snacks, Snacks sucrés",\bsucrés\b
23765,Protéine Whey Fusion Chocolate,"Compléments alimentaires, Compléments po",\bCompléments alimentaires\b
23770,Vanilla Waffles,"Snacks, Snacks sucrés",\bsucrés\b
23771,Whey Hydro Isolate,"Compléments alimentaires, Compléments po",\bCompléments alimentaires\b
23772,Whey Prime,"Compléments alimentaires, Compléments po",\bCompléments alimentaires\b
23776,Brownie Original,"Snacks, Snacks sucrés",\bsucrés\b
23781,Chocolate Leite Cereais Crocantes,"Snacks, Snacks sucrés",\bsucrés\b
23789,Anthon Berg Chocolate Liqueurs 12er,"Snacks, Snacks sucrés",\bsucrés\b
23817,Oyakata Soy Sauce Noodles,"Plant-based foods and beverages, Plant-b",\bNouilles\b
23831,Lentil Chips,"Snacks, Snacks salés",\bsalés\b
23861,Gluten Free Peanut Butter Cookies,"Snacks, Snacks sucrés",\bsucrés\b
23864,Pasito Cappuccino Cake,"Snacks, Snacks sucrés",\bsucrés\b
23866,Milk Chocolate Stevia No Sugar Added,"Snacks, Snacks sucrés",\bsucrés\b
23881,Vanilla Party Cakes,"Snacks, Snacks sucrés",\bsucrés\b
23887,Pistachio-almond Cookies,"Snacks, Snacks sucrés",\bsucrés\b
23905,Tutti Frutti Passion,"Snacks, Snacks sucrés",\bsucrés\b
23916,Protein + BCAA,"Compléments alimentaires, Compléments po",\bCompléments alimentaires\b
23946,Grand Cru Noir,"Snacks, Snacks sucrés",\bsucrés\b
23960,Croissant cream&cookies,"Snacks, Snacks sucrés",\bsucrés\b
24002,Kvikk Lunsj,"Snacks, Snacks sucrés",\bsucrés\b
24015,Non Stop Original,"Snacks, Snacks sucrés",\bsucrés\b
24020,Fruit And Nuts,"Snacks, Snacks sucrés",\bsucrés\b
24021,Nouilles Instantanées En Soupe,Soupes,\bNouilles\b
24059,Strega Alberti Croccantino Al Cioccolato,"Snacks, Snacks sucrés",\bsucrés\b
24070,Colombe Pistache,"Snacks, Snacks sucrés",\bsucrés\b
24082,The Whey Isolat,"Compléments alimentaires, Compléments po",\bCompléments alimentaires\b
24148,Original Stroopwafels,"Snacks, Snacks sucrés",\bsucrés\b
24206,Nouilles Sautees Coreenne,,\bNouilles\b
24286,Dark Fantasy Choco Fills,"Snacks, Snacks sucrés",\bsucrés\b
24320,Waffy,"Snacks, Snacks sucrés",\bsucrés\b
24406,Pop Tarts Frosted Chocotastic,"Snacks, Snacks sucrés",\bsucrés\b
24418,Tim Tam Murray River Salted Caramel,"Snacks, Snacks sucrés",\bsucrés\b
24489,Vegan Croissants,"Snacks, Snacks sucrés",\bsucrés\b
24558,Nouilles Instantanées Saveur Canard,"Plant-based foods and beverages, Plant-b",\bNouilles\b
24908,Belgian Chocolate,"Snacks, Snacks sucrés",\bsucrés\b
24983,Milk Chocolate With Almonds,"Snacks, Snacks sucrés",\bsucrés\b
25032,Forever Lite Ultra,"Compléments alimentaires, Compléments po",\bCompléments alimentaires\b
25432,Biscuits Hobnobs Milk Chocolate,"Snacks, Snacks sucrés",\bsucrés\b
25442,Halloumi,"Produits laitiers, Produits fermentés",\bProduits laitiers\b
25454,Menier Swiss Dark Chocolate,"Snacks, Snacks sucrés",\bsucrés\b
25641,Green & Black's Organic Chocolate Bar Dark,"Snacks, Snacks sucrés",\bsucrés\b
25718,Dark Chocolate - Divine - 100 G,"Snacks, Snacks sucrés",\bsucrés\b
26240,Peanut Butter Caramel Cups,"Snacks, Snacks sucrés",\bsucrés\b
26257,Misfits Plant-powered Chocolate Caramel,"Compléments alimentaires, Compléments po",\bCompléments alimentaires\b
26291,Salted Caramel Choc,"Chocolat blanc en tablette, Chocolat bla",\bchocolat\b
26321,Milk Creamy,Tablette de chocolat au lait,\bchocolat\b
26453,Lacto Free Yogurt Vanille,"Produits laitiers, Produits fermentés",\bProduits laitiers\b
26519,Original Oreo,"Snacks, Snacks sucrés",\bsucrés\b
26529,Kinder Bueno,"Snacks, Snacks sucrés",\bsucrés\b
26568,"Crunchy Oats And Dark Chocolate, 2 Barres De 21 G","Snacks, Snacks sucrés",\bsucrés\b
26572,Digestive Classic,"Snacks, Snacks sucrés",\bsucrés\b
26583,Munchallow,"Snacks, Guimauves enrobées de chocolat",\bchocolat\b
26610,Nutrini Peptisorb,Compléments alimentaires,\bCompléments alimentaires\b
26645,Bhujia Sev,"Snacks, Snacks salés",\bsalés\b
